,company_name,rating,company_reviews,company_age,number_of_employees
76,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
77,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
78,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
79,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
80,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
81,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
82,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
83,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
84,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
85,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
86,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
87,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
88,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
89,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
90,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
91,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
92,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
93,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
94,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
95,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
96,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
97,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
98,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
99,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
100,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
101,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
102,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
103,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
104,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
105,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
106,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
107,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
108,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
109,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
110,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
111,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
112,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
113,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
114,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
115,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
116,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
117,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
118,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
119,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
120,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
121,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
122,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
123,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
124,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
125,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
126,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
127,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
128,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
129,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
130,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
131,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
132,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
133,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
134,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
135,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
136,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
137,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
138,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
139,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
140,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
141,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
142,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
143,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
144,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
145,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
146,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
147,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
148,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
149,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
150,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
151,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
152,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
153,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
154,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
155,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
156,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
157,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
158,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
159,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
160,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
161,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
162,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
163,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
164,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
165,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
166,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
167,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
168,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
169,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
170,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
171,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
172,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
173,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
174,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
175,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
176,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
177,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
178,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
179,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
180,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
181,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
182,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
183,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
184,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
185,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
186,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
187,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
188,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
189,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
190,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
191,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
192,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
193,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
194,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
195,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
196,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
197,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
198,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
199,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
200,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
201,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
202,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
203,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
204,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
205,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
206,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
207,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
208,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
209,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
210,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
211,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
212,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
213,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
214,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
215,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
216,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
217,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
218,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
219,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
220,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
221,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
222,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
223,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
224,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
225,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
226,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
227,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
228,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
229,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
230,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
231,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
232,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
233,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
234,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
235,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
236,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
237,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
238,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
239,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
240,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
241,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
242,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
243,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
244,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
245,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
246,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
247,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
248,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
249,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
250,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
251,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
252,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
253,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
254,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
255,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
256,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
257,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
258,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
259,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
260,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
261,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
262,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
263,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
264,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
265,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
266,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
267,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
268,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
269,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
270,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
271,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
272,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
273,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
274,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
275,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
276,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
277,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
278,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
279,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
280,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
281,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
282,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
283,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
284,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
285,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
286,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
287,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
288,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
289,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
290,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
291,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
292,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
293,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
294,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
295,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
296,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
297,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
298,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
299,Reliance Industr...,4.1,(47.7k Reviews),50 years old,10k-50k Employees (India)
300,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
301,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
302,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
303,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
304,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
305,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
306,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
307,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
308,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
309,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
310,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
311,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
312,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
313,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
314,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
315,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
316,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
317,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
318,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
319,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
320,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
321,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
322,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
323,Reliance Industr...,4.1,(47.7k Reviews),50 years old,10k-50k Employees (India)
324,Bharti Airtel,4.1,(12.9k Reviews),28 years old,10k-50k Employees (India)
325,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
326,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
327,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
